city,sector,orders_per_week,avg_weight_kg,business_model,pct_ultra_urgent,pct_same_day,pct_next_day,peak_hours,avg_distance_km,current_provider,curr_time_hr,curr_cost_aed,fail_rate_band,tracking_sat,delay_churn,eta_importance,fuel_pain,prem_fast_pct,top_pain,stops_per_route,traffic_level,dispatch_day,vehicle_type,fuel_price,cost_threshold_aedkm,time_value_aed,wage_share_pct,maint_cost_aedkm,fuel_strategy,overall_csat,renew_intent,nps,switch_past,repeat_speed_impact,trust_ai,ai_dashboard_influence,choose_speed_equalcost,ai_worry,ai_cost_saving_est,growth_pct_nextyr,expand_timeline,launch_zone_pref,season_peaks,beta_opt_in,api_integration,returns_pct,co2_importance,analytics_usage,contract_term_pref
Abu Dhabi,E-commerce,17.0,6.62,B2C,22.3,52.3,25.4,"9 AM-12,6-9 AM,12-3 PM",26.5,Fetchr,24.0,31.08,<1 %,4.0,3.0,5.0,5.0,10.0,Delay,5.0,Heavy,Weekdays,Mix,3.1,3.0,11.28,35.4,0.77,Raise delivery fee,4.0,3.0,8.0,No,5.0,5.0,3.0,5.0,Data privacy,17.0,21.6,3 mo,Dubai core,"Back-to-School,Ramadan,Eid",No,No,19.0,4.0,4.0,6 months
Dubai,Grocery/Retail,4.0,8.22,B2C,4.8,59.3,35.9,"9 AM-12,6-9 AM",24.9,Aramex,10.9,29.09,5-10 %,5.0,5.0,4.0,1.0,11.5,Billing errors,5.0,Moderate,Weekdays,Van,3.47,3.76,6.23,34.1,0.64,Raise delivery fee,1.0,4.0,8.0,No,5.0,26.393175199119998,4.0,5.0,Data privacy,8.3,33.4,12 mo+,Abu Dhabi suburbs,"DSF,Back-to-School,Eid",Yes,Yes,12.4,4.0,4.0,6 months
Dubai,Pharma & Med-supplies,34.0,3.56,Both,33.7,51.7,14.7,"9 AM-12,6-9 PM,6-9 AM",31.4,Aramex,17.7,62.82,3-5 %,4.0,2.0,4.0,1.0,7.5,Delay,5.0,Moderate,Weekdays,Van,2.84,3.35,7.1,34.6,0.81,Switch provider,3.0,21.950859755943263,4.0,No,3.0,2.0,4.0,3.0,None,3.1,14.7,12 mo+,Abu Dhabi suburbs,None,No,No,19.4,3.0,5.0,2+ years
Sharjah,E-commerce,4.0,4.23,B2B,20.7,55.2,24.1,"3-6 PM,12-3 PM",43.2,In-house,16.5,57.55,1-3 %,2.0,3.0,5.0,3.0,5.9,Cost overruns,2.0,Moderate,Weekends,Mix,3.11,4.67,10.3,27.8,1.37,Absorb cost,1.0,3.0,6.0,No,4.0,4.0,5.0,3.0,Tech failures,4.9,15.1,3 mo,Dubai core,,Yes,Yes,10.5,5.0,4.0,1 year
Dubai,E-commerce,15.0,5.31,Both,6.1,66.3,27.6,3-6 PM,10.1,Fetchr,6.9,22.4,<1 %,2.0,5.0,4.0,3.0,13.3,Cost overruns,4.0,Heavy,Weekdays,Bike,3.17,4.74,15.72,16.3,0.92,Raise delivery fee,4.0,4.0,0.0,Yes,3.0,5.0,3.0,5.0,Driver adoption,19.6,10.2,12 mo+,Northern Emirates,Ramadan,Yes,Yes,20.3,5.0,3.0,Month-to-month
RAK,Other,48.0,1.79,B2C,16.6,56.5,26.9,6-9 AM,22.3,Competitor B,13.0,16.39,1-3 %,2.0,4.0,4.0,4.0,13.8,Cost overruns,4.0,Moderate,Weekdays,Van,2.84,3.72,4.79,30.4,0.52,Reduce service area,3.0,4.0,3.0,No,5.0,4.0,3.0,4.0,Tech failures,6.8,20.1,12 mo+,Dubai core,Year-end,Yes,No,22.2,2.0,3.0,1 year
Dubai,E-commerce,13.0,2.48,B2B,13.0,74.2,12.7,"6-9 AM,3-6 PM",18.3,Competitor B,13.9,24.98,1-3 %,2.0,3.0,4.0,5.0,9.9,Damaged goods,3.0,Moderate,Weekdays,Bike,3.11,2.71,19.76,29.8,0.65,Switch provider,3.0,3.0,4.0,Yes,4.0,3.0,5.0,4.0,Tech failures,4.2,22.3,12 mo+,Sharjah industrial,Ramadan,No,Yes,42.1,4.0,5.0,Month-to-month
Dubai,Pharma & Med-supplies,9.0,3.71,B2C,12.3,48.8,38.9,"9 AM-12,6-9 PM",28.9,Aramex,18.1,33.98,1-3 %,2.0,38.73521223643985,5.0,1.0,7.5,Cost overruns,5.0,Light,Weekdays,Bike,2.81,5.37,7.95,29.4,1.01,Raise delivery fee,4.0,3.0,3.0,No,3.0,5.0,4.0,3.0,Data privacy,7.7,13.3,12 mo+,Dubai core,"Ramadan,Back-to-School",No,No,8.0,5.0,5.0,6 months
Sharjah,Grocery/Retail,38.0,11.2,B2B,23.6,48.5,27.9,"12-3 PM,6-9 PM,6-9 AM",23.4,Aramex,12.3,44.94,1-3 %,1.0,3.0,2.0,3.0,4.2,Poor support,6.0,Heavy,Equally both,Bike,2.81,5.0,13.31,51.1,0.91,Raise delivery fee,5.0,5.0,10.0,Yes,5.0,4.0,5.0,5.0,Data privacy,18.1,19.6,6 mo,Abu Dhabi suburbs,,Yes,No,46.7,1.0,4.0,Month-to-month
Dubai,E-commerce,16.0,1.62,B2C,24.1,33.9,41.9,6-9 AM,63.8,In-house,12.3,24.09,1-3 %,5.0,4.0,5.0,3.0,6.1,Delay,3.0,Light,Weekdays,Bike,3.3,4.97,6.41,29.2,1.22,Reduce service area,5.0,3.0,6.0,No,4.0,3.0,5.0,5.0,Driver adoption,7.0,25.6,12 mo+,Abu Dhabi suburbs,,Yes,Yes,10.1,3.0,3.0,2+ years
Dubai,Other,14.0,8.87,B2C,2.1,69.4,28.5,6-9 AM,34.3,Fetchr,7.2,45.72,3-5 %,4.0,1.0,3.0,2.0,13.1,Poor support,6.0,Light,Weekends,Mix,3.08,4.72,14.25,31.0,0.86,Raise delivery fee,4.0,2.0,8.0,Yes,2.0,2.0,4.0,3.0,None,12.9,5.3,12 mo+,Abu Dhabi suburbs,Back-to-School,No,Yes,68.1,4.0,3.0,6 months
Abu Dhabi,E-commerce,55.0,2.96,Both,44.5,32.5,23.0,"6-9 AM,9 AM-12",52.2,Aramex,13.9,21.18,3-5 %,1.0,15.494084894575941,4.0,5.0,6.7,Poor support,5.0,Heavy,Weekends,Van,2.97,4.48,6.09,31.2,0.87,Absorb cost,5.0,4.0,4.0,No,4.0,2.0,2.0,4.0,Data privacy,9.2,21.9,3 mo,Dubai core,,No,Yes,22.6,3.0,3.0,Month-to-month
Ajman,Electronics,7.0,3.25,B2C,26.0,50.6,23.4,"12-3 PM,6-9 AM",20.8,Competitor A,6.8,81.98,1-3 %,2.0,2.0,3.0,2.0,3.5,Billing errors,5.0,Moderate,Weekdays,Bike,2.87,3.95,13.19,31.3,0.95,Reduce service area,3.0,4.0,10.0,No,5.0,4.0,4.0,5.0,Driver adoption,8.4,0.0,3 mo,Dubai core,"Eid,Back-to-School,Ramadan",Yes,No,4.6,5.0,4.0,2+ years
Dubai,Electronics,13.0,6.9,Both,7.3,62.7,30.0,6-9 PM,46.0,Other,11.8,36.87,1-3 %,1.0,5.0,4.0,4.0,14.8,Damaged goods,6.0,Heavy,Weekends,Van,2.81,4.09,5.26,42.0,0.34,Switch provider,5.0,4.0,5.0,Yes,3.0,5.0,4.0,5.0,Data privacy,18.5,18.8,6 mo,Abu Dhabi suburbs,,Yes,Yes,36.3,2.0,4.0,1 year
Dubai,Food-delivery,40.0,11.17,B2C,2.5,69.2,28.4,"6-9 PM,3-6 PM",17.1,Competitor A,13.6,14.42,1-3 %,1.0,4.0,3.0,3.0,7.4,Poor support,4.0,Moderate,Weekends,Bike,2.98,44.23568340578847,15.72,33.3,0.73,Reduce service area,3.0,4.0,3.0,Yes,5.0,5.0,5.0,4.0,Data privacy,20.2,10.7,12 mo+,Abu Dhabi suburbs,"DSF,Ramadan,Eid",Yes,Yes,51.1,3.0,3.0,Month-to-month
Sharjah,Electronics,7.0,4.28,Both,27.5,23.4,49.1,6-9 AM,12.5,Aramex,26.0,20.61,<1 %,2.0,4.0,4.0,3.0,5.8,Poor support,4.0,Light,Weekdays,N/A,2.94,2.94,231.14114303189064,26.5,1.09,Raise delivery fee,4.0,5.0,5.0,No,3.0,3.0,3.0,5.0,None,10.9,8.0,3 mo,Dubai core,"Year-end,Ramadan",No,No,32.7,4.0,4.0,1 year
Other,Manufacturing,83.0,6.68,Both,17.6,66.0,16.4,6-9 PM,63.1,Aramex,4.7,19.22,5-10 %,5.0,5.0,4.0,1.0,20.5,Poor support,3.0,Heavy,Equally both,Van,3.07,3.2,13.06,31.7,0.92,Raise delivery fee,3.0,4.0,7.0,No,4.0,5.0,5.0,3.0,Driver adoption,12.1,30.2,12 mo+,Dubai core,None,No,Yes,26.3,4.0,5.0,1 year
Abu Dhabi,Grocery/Retail,16.0,1.91,B2C,13.9,62.8,23.4,"6-9 PM,12-3 PM",23.7,Aramex,20.2,25.09,5-10 %,3.0,5.0,5.0,1.0,11.8,Cost overruns,5.0,Moderate,Weekdays,Mix,2.64,4.4,8.67,37.0,1.02,Raise delivery fee,4.0,3.0,2.0,Yes,4.0,4.0,4.0,4.0,Tech failures,4.8,2.6,No plans,Dubai core,"Eid,DSF",Yes,No,18.5,2.0,4.0,6 months
Dubai,Grocery/Retail,40.0,2.42,B2B,29.9,36.3,33.8,3-6 PM,24.0,Competitor A,23.1,15.39,1-3 %,3.0,5.0,3.0,3.0,12.4,Cost overruns,4.0,Moderate,Weekdays,Bike,2.91,2.5,24.73,43.9,1.07,Switch provider,3.0,5.0,10.0,No,4.0,5.0,4.0,4.0,Driver adoption,10.3,9.9,6 mo,Sharjah industrial,Eid,No,Yes,31.0,2.0,5.0,1 year
Dubai,Manufacturing,40.0,1.47,Both,6.2,43.8,50.0,"6-9 PM,3-6 PM",14.2,Fetchr,11.8,24.65,1-3 %,3.0,4.0,4.0,2.0,20.8,Delay,3.0,Light,Equally both,N/A,3.06,4.3,6.64,30.1,0.72,Raise delivery fee,5.0,5.0,6.0,No,4.0,3.0,3.0,5.0,Data privacy,27.8520548575637,21.5,No plans,Dubai core,,Yes,No,17.2,3.0,2.0,6 months
Dubai,Grocery/Retail,17.0,2.44,Both,48.3,17.9,33.8,"6-9 AM,9 AM-12",12.6,Competitor A,16.5,23.27,5-10 %,5.0,4.0,4.0,5.0,2.6,Delay,8.0,Moderate,Weekdays,Van,3.36,4.96,19.98,23.2,0.86,Reduce service area,3.0,3.0,7.0,Yes,4.0,5.0,4.0,4.0,Driver adoption,8.2,15.0,6 mo,Dubai core,Year-end,Yes,Yes,13.2,4.0,4.0,Month-to-month
Dubai,Grocery/Retail,73.24701352708665,4.66,Both,13.1,37.9,49.0,6-9 AM,76.5,Aramex,9.9,36.25,3-5 %,4.0,4.0,5.0,4.0,6.1,Poor support,6.0,Light,Equally both,N/A,2.87,3.64,11.8,28.4,0.97,Reduce service area,5.0,4.0,10.0,No,3.0,2.0,4.0,4.0,None,12.2,6.8,6 mo,Abu Dhabi suburbs,,Yes,No,54.5,2.0,2.0,1 year
Abu Dhabi,E-commerce,19.0,3.77,B2B,5.4,64.7,30.0,12-3 PM,50.6,Aramex,6.4,23.45,1-3 %,1.0,5.0,4.0,2.0,7.3,Poor support,4.0,Moderate,Weekdays,N/A,3.05,4.77,15.64,32.4,1.27,Raise delivery fee,3.0,3.0,6.0,No,4.0,4.0,4.0,4.0,Data privacy,14.6,8.1,No plans,Sharjah industrial,Eid,Yes,No,9.8,4.0,5.0,2+ years
Dubai,E-commerce,35.0,9.36,Both,33.0,54.8,12.2,6-9 AM,13.3,Other,23.6,51.58,1-3 %,3.0,3.0,4.0,2.0,7.9,Delay,8.0,Light,Weekends,Truck,2.9,3.06,27.81,37.8,1.07,Switch provider,5.0,4.0,5.0,No,4.0,4.0,4.0,2.0,Tech failures,2.8,17.7,3 mo,Sharjah industrial,DSF,Yes,Yes,16.8,3.0,1.0,2+ years
Abu Dhabi,Pharma & Med-supplies,9.0,11.39,B2B,10.7,68.6,20.7,"6-9 PM,6-9 AM",14.6,Competitor A,12.8,24.46,<1 %,3.0,3.0,4.0,2.0,3.9,Delay,6.0,Light,Weekdays,Van,3.33,4.06,10.34,33.1,0.69,Reduce service area,4.0,5.0,8.0,Yes,3.0,4.0,4.0,35.15346860002352,Driver adoption,6.8,11.5,6 mo,Dubai core,None,Yes,Yes,43.7,2.0,4.0,Month-to-month
Abu Dhabi,E-commerce,7.0,3.06,B2C,11.0,65.6,23.3,"12-3 PM,9 AM-12",28.4,Competitor B,15.7,15.1,1-3 %,4.0,3.0,5.0,2.0,7.8,Delay,7.0,Moderate,Weekends,Truck,3.18,3.57,6.89,13.9,0.89,Raise delivery fee,5.0,5.0,8.0,No,4.0,4.0,5.0,3.0,Driver adoption,9.1,21.0,3 mo,Abu Dhabi suburbs,"Year-end,Back-to-School",Yes,Yes,18.9,4.0,1.0,Month-to-month
Abu Dhabi,Pharma & Med-supplies,65.0,2.21,B2C,39.3,45.7,15.1,6-9 AM,18.4,Competitor A,4.4,7.52,3-5 %,1.0,3.0,2.0,1.0,16.0,Cost overruns,7.0,Light,Weekdays,Van,3.21,3.65,1.87,42.0,0.87,Absorb cost,24.913058492902056,3.0,8.0,Yes,4.0,3.0,2.0,2.0,Driver adoption,6.3,16.6,No plans,Dubai core,Eid,Yes,No,42.2,3.0,3.0,Month-to-month
Dubai,E-commerce,11.0,6.66,B2C,2.3,59.1,38.6,"12-3 PM,6-9 AM,3-6 PM",14.3,Competitor A,128.7949547059288,34.75,1-3 %,4.0,4.0,5.0,2.0,2.7,Cost overruns,3.0,Moderate,Weekdays,Truck,2.88,3.04,10.48,34.1,1.01,Raise delivery fee,4.0,3.0,7.0,No,5.0,4.0,4.0,4.0,Driver adoption,6.5,17.7,6 mo,Dubai core,,Yes,Yes,4.3,3.0,5.0,2+ years
Sharjah,Grocery/Retail,26.0,7.09,B2B,44.7,8.7,46.6,"3-6 PM,9 AM-12",14.6,Aramex,6.5,137.55318539821502,>10 %,2.0,2.0,4.0,3.0,7.6,Delay,4.0,Moderate,Equally both,Van,3.04,4.07,3.32,32.0,0.75,Reduce service area,5.0,5.0,4.0,No,3.0,4.0,5.0,4.0,None,3.4,19.1,12 mo+,Dubai core,Ramadan,Yes,No,30.2,3.0,5.0,1 year
Sharjah,Manufacturing,17.0,4.33,B2C,12.7,32.1,55.2,"3-6 PM,6-9 AM,9 AM-12",21.4,Fetchr,28.8,75.30946166261113,<1 %,2.0,5.0,4.0,1.0,9.1,Damaged goods,8.0,Light,Equally both,Van,3.15,6.27,19.55,37.0,0.56,Absorb cost,4.0,4.0,9.0,Yes,4.0,4.0,4.0,2.0,Tech failures,9.9,18.6,No plans,Sharjah industrial,"Year-end,Back-to-School",Yes,Yes,36.9,1.0,4.0,1 year
Sharjah,Grocery/Retail,17.0,5.07,B2B,18.6,68.4,13.0,"6-9 AM,9 AM-12,3-6 PM",9.2,Other,15.1,30.83,5-10 %,3.0,4.0,4.0,2.0,4.0,Damaged goods,5.0,Moderate,Weekdays,Van,3.04,4.14,17.52,30.4,1.07,Switch provider,3.0,4.0,10.0,No,3.0,5.0,4.0,5.0,Tech failures,3.7,31.1,12 mo+,Dubai core,DSF,Yes,No,31.7,5.0,5.0,1 year
Dubai,Electronics,63.0,4.62,B2C,12.0,73.3,14.7,"12-3 PM,6-9 PM",14.0,Aramex,16.9,19.36,1-3 %,2.0,4.0,21.989308496747007,2.0,15.5,Cost overruns,3.0,Heavy,Weekdays,Mix,3.25,3.46,12.84,28.8,0.86,Raise delivery fee,5.0,27.43857469492908,1.0,No,5.0,5.0,5.0,3.0,None,14.8,17.3,No plans,Dubai core,,Yes,No,12.1,4.0,5.0,Month-to-month
Dubai,E-commerce,18.0,1.83,B2B,14.9,50.9,34.2,"3-6 PM,6-9 PM,6-9 AM",52.6,Competitor B,5.9,58.81,3-5 %,5.0,4.0,4.0,5.0,23.1,Poor support,4.0,Light,Weekdays,Bike,3.15,5.3,8.99,40.0,1.05,Reduce service area,3.0,4.0,8.0,No,3.0,2.0,2.0,2.0,None,1.8,6.0,6 mo,Dubai core,Year-end,No,Yes,22.2,3.0,4.0,2+ years
RAK,E-commerce,15.0,1.6,B2C,18.7,54.3,27.0,9 AM-12,11.5,Aramex,18.9,18.99,1-3 %,2.0,5.0,3.0,3.0,14.4,Poor support,5.0,Heavy,Weekdays,Bike,3.04,4.53,1.98,20.9,1.09,Raise delivery fee,5.0,2.0,8.346009610537735,No,4.0,4.0,3.0,5.0,Data privacy,10.4,15.0,3 mo,Dubai core,,Yes,Yes,14.9,3.0,5.0,2+ years
Dubai,Electronics,16.0,3.22,B2C,10.8,39.4,49.7,"12-3 PM,6-9 AM",23.1,Other,13.0,79.17,>10 %,1.0,3.0,3.0,1.0,14.0,Poor support,7.0,Heavy,Weekdays,N/A,3.01,4.95,10.09,33.1,0.79,Switch provider,3.0,5.0,6.0,No,4.0,4.0,4.0,5.0,Tech failures,7.2,4.1,No plans,Dubai core,"Back-to-School,DSF,Eid",Yes,Yes,13.5,5.0,4.0,1 year
Dubai,Food-delivery,13.0,2.94,Both,28.4,64.3,7.3,"12-3 PM,9 AM-12",29.7,Aramex,20.2,28.67,1-3 %,5.0,4.0,5.0,4.0,22.1,Delay,2.0,Moderate,Weekdays,Van,2.97,2.5,4.54,29.1,0.65,Raise delivery fee,4.0,3.0,8.0,No,4.0,5.0,4.0,5.0,Data privacy,7.0,3.0,No plans,Dubai core,None,Yes,Yes,33.8,2.0,3.0,1 year
Abu Dhabi,Manufacturing,11.0,3.92,B2C,16.4,75.3,8.3,"12-3 PM,6-9 AM",50.3,Competitor A,17.8,35.31,5-10 %,5.0,3.0,4.0,3.0,11.6,Delay,8.0,Moderate,Weekdays,Van,3.09,3.36,6.67,24.1,1.21,Raise delivery fee,2.0,2.0,7.0,No,3.0,5.0,3.0,4.0,Tech failures,16.1,11.6,3 mo,Abu Dhabi suburbs,DSF,No,Yes,44.8,5.0,5.0,6 months
Abu Dhabi,Electronics,13.0,3.07,B2C,9.0,61.3,29.6,12-3 PM,9.9,Aramex,27.1,43.98,>10 %,3.0,3.0,3.0,2.0,9.0,Cost overruns,8.0,Light,Weekdays,Van,3.07,4.41,10.86,38.7,0.98,Switch provider,4.0,4.0,6.0,No,5.0,4.0,3.0,5.0,Data privacy,7.7,21.5,12 mo+,Northern Emirates,Eid,No,No,44.3,2.0,4.0,6 months
Fujairah,Manufacturing,75.0,1.19,Both,14.1,75.8,10.1,"6-9 AM,12-3 PM",13.5,Aramex,11.1,41.81,1-3 %,4.0,4.0,2.0,5.0,5.6,Delay,6.0,Moderate,Weekdays,Van,3.07,4.32,5.61,20.2,1.0,Raise delivery fee,3.0,1.0,7.0,No,2.0,5.0,4.0,5.0,Data privacy,22.6,11.4,12 mo+,Sharjah industrial,,Yes,No,45.5,4.0,5.0,2+ years
Dubai,Manufacturing,35.0,0.93,Both,14.0,62.2,23.8,6-9 AM,23.4,In-house,19.1,33.42,1-3 %,4.0,5.0,5.0,3.0,14.1,Poor support,9.0,Moderate,Weekdays,Van,3.37,3.58,13.85,46.8,0.97,Switch provider,3.0,5.0,4.0,Yes,4.0,1.0,5.0,3.0,Tech failures,7.7,7.4,6 mo,Dubai core,"DSF,Back-to-School,Year-end",No,No,17.5,5.0,3.0,6 months
RAK,Manufacturing,15.0,5.17,B2C,19.4,61.8,18.8,"3-6 PM,6-9 PM",48.5,Aramex,12.4,13.99,1-3 %,3.0,3.0,3.0,4.0,7.7,Damaged goods,4.0,Moderate,Weekdays,Truck,2.56,3.41,5.45,50.4,0.8,Reduce service area,4.0,3.0,7.0,No,4.0,3.0,4.0,4.0,Data privacy,4.4,28.4,6 mo,Northern Emirates,"Ramadan,Eid",Yes,No,2.7,2.0,4.0,6 months
Dubai,Manufacturing,44.0,2.23,B2C,35.8,45.2,19.0,"12-3 PM,9 AM-12",38.4,In-house,6.9,153.09,<1 %,4.0,5.0,5.0,2.0,16.0,Poor support,56.459093925053004,Moderate,Weekends,Van,3.06,5.27,6.91,29.3,1.01,Raise delivery fee,4.0,5.0,1.0,No,5.0,3.0,4.0,5.0,Data privacy,6.8,17.8,6 mo,Northern Emirates,None,No,No,53.3,3.0,21.42205084572089,1 year
Abu Dhabi,E-commerce,5.0,2.89,B2B,4.4,63.0,32.7,"3-6 PM,6-9 PM,6-9 AM",75.8,Aramex,14.7,15.25,3-5 %,3.0,4.0,1.0,5.0,18.5,Damaged goods,7.0,Moderate,Weekdays,Mix,3.24,4.33,9.09,27.2,0.59,Switch provider,5.0,3.0,3.0,No,5.0,5.0,4.0,3.0,Tech failures,9.1,16.9,No plans,Abu Dhabi suburbs,"DSF,Year-end,Ramadan",Yes,Yes,5.6,5.0,5.0,1 year
Abu Dhabi,E-commerce,60.0,2.38,B2C,9.4,45.6,45.0,"6-9 AM,9 AM-12,12-3 PM",15.7,Aramex,7.1,14.7,3-5 %,2.0,5.0,3.0,5.0,18.9,Delay,2.0,Moderate,Weekdays,Mix,3.0,3.42,21.01,37.8,0.8,Raise delivery fee,5.0,4.0,8.0,No,4.0,4.0,5.0,3.0,Tech failures,11.2,15.5,6 mo,Abu Dhabi suburbs,"Year-end,DSF,Eid",No,Yes,10.5,4.0,3.0,Month-to-month
Dubai,Pharma & Med-supplies,56.0,1.92,Both,21.4,46.0,32.6,"3-6 PM,6-9 PM",14.5,Other,14.2,37.78,1-3 %,3.0,2.0,4.0,3.0,15.0,Delay,7.0,Light,Weekdays,N/A,3.2,4.07,7.56,29.8,4.306773043007389,Switch provider,4.0,3.0,0.0,Yes,3.0,3.0,5.0,3.0,Tech failures,6.2,21.8,6 mo,Dubai core,,No,No,30.3,4.0,4.0,Month-to-month
Dubai,Grocery/Retail,120.0,1.89,Both,37.8,39.8,22.4,"3-6 PM,6-9 PM",15.3,Competitor A,8.5,54.12,>10 %,4.0,5.0,4.0,3.0,13.9,Poor support,4.0,Heavy,Weekdays,Mix,3.18,5.71,13.14,45.4,0.65,Raise delivery fee,4.0,5.0,5.0,Yes,4.0,5.0,4.0,5.0,Data privacy,2.3,19.0,No plans,Dubai core,,Yes,No,6.5,5.0,5.0,Month-to-month
Dubai,Manufacturing,45.0,6.12,B2B,11.8,27.9,60.3,"9 AM-12,3-6 PM,6-9 PM",15.1,Fetchr,10.5,15.62,>10 %,3.0,3.0,5.0,3.0,13.1,Poor support,6.0,Light,Weekdays,Van,2.92,4.86,50.07,33.8,0.85,Absorb cost,5.0,4.0,1.0,No,5.0,3.0,4.0,1.0,Tech failures,3.8,16.6,12 mo+,Dubai core,Eid,No,Yes,38.2,2.0,4.0,1 year
Fujairah,Pharma & Med-supplies,28.0,2.88,B2B,14.7,73.4,11.9,6-9 PM,13.0,Other,7.1,70.5,1-3 %,4.0,2.0,3.0,3.0,11.6,Delay,6.0,Moderate,Weekdays,Van,3.03,5.05,13.05,45.1,0.76,Reduce service area,4.0,4.0,7.0,No,5.0,3.0,2.0,5.0,Tech failures,8.4,23.0,3 mo,Dubai core,"Ramadan,Eid",Yes,Yes,10.0,5.0,3.0,6 months
Abu Dhabi,E-commerce,56.0,4.86,Both,3.0,78.4,18.6,"12-3 PM,9 AM-12,6-9 PM",32.8,In-house,29.1,15.08,3-5 %,4.0,3.0,5.0,3.0,17.5,Delay,4.0,Moderate,Weekdays,N/A,2.92,3.72,8.14,31.3,0.85,Raise delivery fee,5.0,4.0,1.0,No,4.0,3.0,5.0,3.0,Driver adoption,19.0,17.4,3 mo,Abu Dhabi suburbs,"Eid,DSF,Year-end",No,No,56.2,4.0,4.0,2+ years
RAK,Food-delivery,12.0,5.27,Both,24.9,35.4,39.7,12-3 PM,7.4,Competitor A,8.4,51.15,1-3 %,1.0,5.0,4.0,3.0,6.8,Damaged goods,2.0,Light,Equally both,Truck,2.96,3.29,11.33,39.5,0.76,Raise delivery fee,4.0,5.0,3.0,No,1.0,1.0,4.0,4.0,Data privacy,16.3,10.2,3 mo,Dubai core,"Year-end,Ramadan",Yes,Yes,49.1,5.0,2.0,6 months
Sharjah,E-commerce,14.0,4.01,B2C,17.6,46.1,36.3,"9 AM-12,6-9 AM,12-3 PM",57.3,Aramex,11.3,36.97,<1 %,1.0,4.0,4.0,2.0,11.1,Cost overruns,3.0,Moderate,Weekdays,Bike,3.26,2.98,5.65,45.3,1.03,Switch provider,4.0,3.0,5.0,No,7.366482194656732,4.0,3.0,5.0,None,8.4,19.6,3 mo,Abu Dhabi suburbs,,Yes,No,22.4,4.0,4.0,6 months
Abu Dhabi,Food-delivery,19.0,5.37,B2B,25.9,36.7,37.4,"3-6 PM,12-3 PM",22.0,Other,10.7,118.93,1-3 %,5.0,4.0,4.0,2.0,16.2,Delay,4.0,Heavy,Weekdays,Mix,3.04,5.99,11.0,28.8,1.04,Raise delivery fee,4.0,3.0,6.0,No,4.0,1.0,4.0,3.0,Driver adoption,8.8,28.3,6 mo,Sharjah industrial,"Eid,DSF,Back-to-School",Yes,Yes,42.9,2.0,3.0,6 months
Sharjah,E-commerce,60.0,3.35,B2C,16.8,47.1,36.0,3-6 PM,32.5,Competitor A,12.2,41.81,1-3 %,3.0,4.0,2.0,3.0,9.8,Billing errors,5.0,Light,Weekdays,Mix,2.94,4.5,5.2,29.6,0.48,Switch provider,1.0,3.0,1.0,No,5.0,5.0,5.0,5.0,Driver adoption,12.2,12.3,6 mo,Dubai core,Year-end,No,Yes,5.0,1.0,21.42205084572089,6 months
Dubai,Pharma & Med-supplies,10.0,7.53,B2C,25.8,51.9,22.3,"12-3 PM,3-6 PM",9.4,Aramex,7.5,40.23,5-10 %,2.0,4.0,4.0,3.0,5.3,Delay,6.0,Moderate,Weekdays,N/A,3.52,3.99,6.5,21.7,0.52,Raise delivery fee,3.0,4.0,1.0,Yes,4.0,4.0,4.0,5.0,Data privacy,16.5,3.9,3 mo,Abu Dhabi suburbs,Year-end,Yes,No,1.7,4.0,2.0,Month-to-month
Dubai,Pharma & Med-supplies,9.0,5.44,B2C,15.1,53.7,31.2,"6-9 AM,3-6 PM,9 AM-12",14.0,Other,11.7,36.84,>10 %,3.0,5.0,4.0,3.0,3.5,Delay,65.86894291256183,Light,Weekdays,Bike,2.88,3.29,6.59,37.0,0.78,Absorb cost,4.0,4.0,0.0,No,3.0,3.0,36.75413170724069,2.0,Driver adoption,10.8,9.0,3 mo,Dubai core,"DSF,Year-end",Yes,Yes,5.8,3.0,3.0,1 year
Sharjah,E-commerce,24.0,5.89,B2B,16.6,51.9,31.5,6-9 PM,16.0,Competitor B,13.3,61.1,1-3 %,5.0,4.0,5.0,3.0,0.6,Cost overruns,5.0,Moderate,Weekends,Van,3.28,4.75,10.73,22.4,0.39,Reduce service area,3.0,5.0,0.0,No,5.0,5.0,4.0,4.0,Tech failures,10.0,16.5,12 mo+,Dubai core,,No,No,13.8,4.0,3.0,Month-to-month
Sharjah,E-commerce,35.0,1.89,B2B,20.0,58.3,21.7,"6-9 AM,3-6 PM",17.1,Other,13.4,19.76,<1 %,3.0,4.0,4.0,3.0,12.0,Cost overruns,5.0,Heavy,Weekdays,Van,3.13,5.9,5.27,37.9,0.72,Reduce service area,2.0,3.0,8.0,No,4.0,5.0,3.0,4.0,Data privacy,8.9,17.6,3 mo,Dubai core,,Yes,No,35.6,3.0,5.0,Month-to-month
Dubai,E-commerce,11.0,3.89,B2C,9.7,56.2,34.1,"9 AM-12,3-6 PM,12-3 PM",16.7,Competitor A,24.3,26.93,1-3 %,5.0,5.0,4.0,1.0,11.9,Cost overruns,3.0,Light,Weekdays,Van,2.93,4.62,13.23,27.7,0.72,Reduce service area,5.0,5.0,10.0,No,5.0,5.0,4.0,5.0,Driver adoption,8.3,17.2,6 mo,Abu Dhabi suburbs,Eid,No,Yes,39.3,4.0,4.0,1 year
